StopID	Name	StopAreaNumber	WGS84 Lat	WGS 84 Long	Zone	Type	Added	Changed	SiteID	Name		
16258	Storholmsbackarna övre	16258	59.2749831724920	17.8922924875915	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9968	Storholmsbackarna övre		
16701	Hässelby gård	12592	59.3666376249251	17.8427680776414	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	9101	Hässelby gård		
16703	Friherregatan	16703	59.3671618975179	17.8396681992216	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3919	Friherregatan		
55839	Hummelmora(Avst)	55839	59.4018620666912	17.7956811559247	B	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	5820	Hummelmora		
6331	Älvsjö	5141	59.2785272957252	18.0107020432098	A	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3009529	Älvsjö station		
12018	Västerledstorget	12017	59.3287975204470	17.9688143009521	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3647	Västerledstorget		
6332	Älvsjö	5141	59.2785293734534	18.0105793502930	A	RAILWSTN	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3009529	Älvsjö station		
12015	Mossens idrottsplats	12015	59.3281981802915	17.9632585638429	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3646	Mossens idrottsplats		
12014	Nyängsvägen	12013	59.3287262855184	17.9557535029664	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3645	Nyängsvägen		
12017	Västerledstorget	12017	59.3288036380343	17.9684456684419	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3647	Västerledstorget		
12016	Mossens idrottsplats	12015	59.3285835680871	17.9638453089100	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3646	Mossens idrottsplats		
12011	Grundläggarvägen	12011	59.3290211387792	17.9520291929673	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3644	Grundläggarvägen		
12010	Abrahamsbergsvägen	12009	59.3295073172810	17.9459445549833	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3643	Abrahamsbergsvägen		
12013	Nyängsvägen	12013	59.3286050390345	17.9560269997169	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3645	Nyängsvägen		
12012	Grundläggarvägen	12011	59.3291655074623	17.9508960827753	A	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	3644	Grundläggarvägen		
64674	Johannesberg	64673	59.7401315564326	18.1919191953057	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6592	Johannesberg		
65068	Brandstationen	65067	59.7667716890262	18.6966983561029	C	BUSTERM	2013-12-15 00:00:00.000	2013-12-15 00:00:00.000	6012	Brandstationen		
64534	Brölunda vägskäl	64533	59.8631726989711	18.7451711790117	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6766	Brölunda vägskäl		
64670	Granbacken	64669	59.7414796300374	18.2149823866829	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6590	Granbacken		
64671	Håkansberg	64671	59.7418904699687	18.2048002636793	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6591	Håkansberg		
64672	Håkansberg	64671	59.7418132936168	18.2060756364717	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6591	Håkansberg		
64673	Johannesberg	64673	59.7401254243511	18.1897840360362	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6592	Johannesberg		
64533	Brölunda vägskäl	64533	59.8629211002566	18.744773930387	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6766	Brölunda vägskäl		
64678	Tegelbacken	64677	59.7793515603009	18.138082871578	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6514	Tegelbacken		
64679	Ringhäll	64679	59.7399295857269	18.1547966595214	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6509	Ringhäll		
64532	Mamrelund	64531	59.8588902055866	18.7422753684782	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6765	Mamrelund		
63024	Angskär-Solbacken	63023	59.7283209509403	18.8157307479984	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6168	Angskär-Solbacken		
63025	Brantbacken	63025	59.7281697590995	18.8234903017242	C	BUSTERM	2012-06-23 00:00:00.000	2012-06-23 00:00:00.000	6169	Brantbacken		
