StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;;;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;One
1604;1601;1604;Skärmarbrink;59.2952757823204;18.0903469985668;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421704;Skärmarbrink T-bana;59.295363845785;18.090440891894;1
1612;1611;1612;Globen;59.2942521153853;18.0780247893256;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421706;Globen T-bana;59.294279848735;18.077974182502;1
1622;1621;1622;Enskede gård;59.2889965157191;18.0704252270971;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421707;Enskede Gård T-bana;59.28939382856;18.070293861278;1
1632;1631;1632;Sockenplan;59.2836360035667;18.0709115149055;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421708;Sockenplan T-bana;59.283300249641;18.070591074057;1
1642;1641;1642;Svedmyra;59.2780033441433;18.067940411466;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421709;Svedmyra T-bana;59.277638401705;18.067232092811;1
1652;1651;1652;Stureby;59.2746324841179;18.0556984632353;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421710;Stureby T-bana;59.274597723736;18.05562619957;1
1662;1661;1662;Bandhagen;59.2703906475053;18.0496470803509;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421711;Bandhagen T-bana;59.270402242495;18.049490167426;1
1703;1701;1703;Högdalen;59.2636992284482;18.0429454614063;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421712;Högdalen T-bana;59.263796899747;18.043004693069;1
1712;1711;1712;Rågsved;59.2566677859511;18.0282806560861;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421713;Rågsved T-bana;59.256580386923;18.028134889433;1
1721;1721;1721;Hagsätra;59.2616540155546;18.0133647845575;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421714;Hagsätra T-bana;59.262728421962;18.012487419555;1
1812;1811;1812;Blåsut;59.2911490051164;18.0911411373671;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421703;Blåsut T-bana;59.290243304539;18.091063062479;1
1822;1821;1822;Sandsborg;59.2856752641979;18.0919325152216;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421702;Sandsborg T-bana;59.284787237712;18.092382133831;1
1832;1831;1832;Skogskyrkogården;59.278967026605;18.0955186440811;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421701;Skogskyrkogården T-bana;59.279191786137;18.095498851906;1
1842;1841;1842;Tallkrogen;59.2712489328434;18.085527022734;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421700;Tallkrogen T-bana;59.271135611453;18.085326680966;1
1852;1851;1852;Gubbängen;59.2633249973453;18.0821386289815;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421699;Gubbängen T-bana;59.262877652196;18.082038836488;1
1862;1861;1862;Hökarängen;59.2579214263221;18.0825147154676;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421698;Hökarängen T-bana;59.257921639639;18.082497402633;1
1872;1871;1872;Farsta;59.2447406902721;18.0926444886968;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421697;Farsta T-bana;59.243552971924;18.093283850487;1
1881;1881;1881;Farsta strand;59.2355276839787;18.1012808998302;A2;METROSTN;2011-02-02 18:35:39.423;2011-02-03 00:00:00.000;7421696;Farsta Strand T-bana;59.235007681574;18.101736860076;1
1912;1911;1912;Hammarbyhöjden;59.2947478037077;18.1045316422399;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421695;Hammarbyhöjden T-bana;59.294765339847;18.104550590673;1
1922;1921;1922;Björkhagen;59.2916651651009;18.1153301250575;A2;METROSTN;2007-08-24 21:20:31.610;2007-08-25 00:00:00.000;7421694;Björkhagen T-bana;59.291113901981;18.115521177095;1
