0;0;0;0;0;0;0;0;0;0;0;0;0;
10171;Gustav Adolfs torg;10811;59,3304352211;18,0680508972;A;BUSTERM;0,0004713624;7446019;Jakobsgatan;59,3306795713;18,0684539797;1022;1
10909;Gustav Adolfs torg;10811;59,3292662175;18,0696953611;A;BUSTERM;0,0010062369;7446197;Gustav Adolfs torg;59,3298461441;18,0688730486;1022;0
10327;Nationalmuseum;10327;59,3285289334;18,0769742111;A;BUSTERM;0,0005240205;7410947;Stockholm Nationalmuseum;59,328313976;18,0774521135;1024;1
10328;Nationalmuseum;10327;59,3280988968;18,0779471548;A;BUSTERM;0,0005397453;7410947;Stockholm Nationalmuseum;59,328313976;18,0774521135;1024;0
10334;Östasiatiska museet;10333;59,3264446725;18,0806306381;A;BUSTERM;0,0002402202;7445460;Stockholm Östasiatiska museet;59,3263153301;18,0808330641;1025;1
10333;Östasiatiska museet;10333;59,3261855605;18,0810701838;A;BUSTERM;0,000270307;7445460;Stockholm Östasiatiska museet;59,3263153301;18,0808330641;1025;0
10330;Arkitektur-/Moderna museet;10329;59,3251382667;18,0849888335;A;BUSTERM;0,000232945;7445404;Stockholm Arkitekt/Moderna mus;59,3251700606;18,0852195986;1026;1
10329;Arkitektur-/Moderna museet;10329;59,325181338;18,0856067112;A;BUSTERM;0,0003872769;7445404;Stockholm Arkitekt/Moderna mus;59,3251700606;18,0852195986;1026;0
10332;Kastellholmsbron;10332;59,3240789561;18,0875359283;A;BUSTERM;2,23891982173248E-007;7445457;Stockholm Kastellholmsbron;59,324078863;18,0875361319;1028;1
10544;Tegnérgatan;10544;59,3388938919;18,060298924;A;BUSTERM;1,73556291335782E-005;7446129;Tegnérgatan (Sveavägen);59,3388941027;18,0602815697;1029;1
50443;Stadsbiblioteket;10188;59,3443634454;18,0550531592;A;BUSTERM;0,0003676079;7446026;Stadsbiblioteket;59,3441871726;18,0553757479;1030;1
10547;Stadsbiblioteket;10188;59,3446035037;18,0551921037;A;BUSTERM;0,000455035;7446026;Stadsbiblioteket;59,3441871726;18,0553757479;1030;0
10188;Stadsbiblioteket;10188;59,3437667234;18,0547675655;A;BUSTERM;0,0007393669;7446026;Stadsbiblioteket;59,3441871726;18,0553757479;1030;0
10189;Stadsbiblioteket;10188;59,3443311379;18,0564047568;A;BUSTERM;0,0010390309;7446026;Stadsbiblioteket;59,3441871726;18,0553757479;1030;0
10543;Rådmansgatan;10543;59,3401610065;18,0592051261;A;BUSTERM;0,0005948284;7421666;Rådmansgatan T-bana;59,3405724364;18,0587755376;1032;1
10541;Adolf Fredriks kyrka;10541;59,338060954;18,0612104977;A;BUSTERM;0,0004477018;7446128;Adolf Fredriks kyrka;59,3377235178;18,0615047318;1033;1
10542;Adolf Fredriks kyrka;10541;59,3373949326;18,0618167049;A;BUSTERM;0,0004530954;7446128;Adolf Fredriks kyrka;59,3377235178;18,0615047318;1033;0
10159;Döbelnsgatan;10159;59,3425619835;18,0600498215;A;BUSTERM;1,73575054910245E-005;7446013;Döbelnsgatan;59,3425621942;18,0600324652;1034;1
10161;Tegnérgatan;10161;59,340601784;18,0622755053;A;BUSTERM;1,73564783617653E-005;7446014;Tegnérgatan (Döbelnsgatan);59,340601995;18,0622581501;1035;1
10163;David Bagares gata;10163;59,3370446471;18,0654495416;A;BUSTERM;1,73546252418341E-005;7446016;David Bagares gata;59,3370448585;18,0654321883;1036;1
10162;Snickarbacken;10162;59,3380394668;18,0671152005;A;BUSTERM;1,73551133712354E-005;7446015;Snickarbacken;59,3380396784;18,0670978466;1037;1
10285;Norra Bantorget;10284;59,3351185646;18,0553207397;A;BUSTERM;0,0005583706;7446063;Norra Bantorget;59,3349661075;18,0547835855;1040;1
10284;Norra Bantorget;10284;59,3353502595;18,0554239411;A;BUSTERM;0,0007467449;7446063;Norra Bantorget;59,3349661075;18,0547835855;1040;0
10274;Wallingatan;10274;59,3360928115;18,0519401273;A;BUSTERM;0,0009836902;7446059;Wallingatan;59,3359771058;18,052916989;1042;1
10282;Tegnérgatan;10282;59,3376210854;18,0497559635;A;BUSTERM;0,0008473164;7446062;Tegnérgatan (Dalagatan);59,3374719364;18,0505900496;1043;1
10283;Tegnérgatan;10282;59,3366261614;18,0506922237;A;BUSTERM;0,0008519242;7446062;Tegnérgatan (Dalagatan);59,3374719364;18,0505900496;1043;0
10582;Sabbatsbergs sjukhus;10280;59,3391816952;18,0488217938;A;BUSTERM;0,0003462712;7446061;Sabbatsbergs sjukhus;59,3390252846;18,048512861;1044;1
10281;Sabbatsbergs sjukhus;10280;59,3386746548;18,0485422684;A;BUSTERM;0,0003518609;7446061;Sabbatsbergs sjukhus;59,3390252846;18,048512861;1044;0
10280;Sabbatsbergs sjukhus;10280;59,3393196563;18,0481101794;A;BUSTERM;0,0004988058;7446061;Sabbatsbergs sjukhus;59,3390252846;18,048512861;1044;0
10581;Observatoriegatan;10581;59,3407905957;18,0502990596;A;BUSTERM;0,0003624605;7446138;Observatoriegatan;59,3405434846;18,050564227;1045;1
10586;Observatoriegatan;10581;59,340491774;18,0509649204;A;BUSTERM;0,0004040163;7446138;Observatoriegatan;59,3405434846;18,050564227;1045;0
10807;Tegnérgatan;10588;59,3381096783;18,0511065218;A;BUSTERM;0,0010001975;7446140;Tegnérgatan (Västmannag);59,3380654331;18,0521057403;1046;1
10588;Tegnérgatan;10588;59,3380210634;18,0531221062;A;BUSTERM;0,001017334;7446140;Tegnérgatan (Västmannag);59,3380654331;18,0521057403;1046;0
10182;Hälsingegatan;10182;59,3428616849;18,0431751316;A;BUSTERM;0,0001203068;7446024;Hälsingegatan;59,3427969958;18,0432765666;1052;1
10183;Hälsingegatan;10182;59,3427321911;18,043395154;A;BUSTERM;0,0001351393;7446024;Hälsingegatan;59,3427969958;18,0432765666;1052;0
10617;Dalagatan;10183;59,3413978942;18,044748885;A;BUSTERM;0,0001106011;7446025;Dalagatan;59,3414590809;18,0448410196;1053;1
10616;Dalagatan;10183;59,3411766682;18,0445585301;A;BUSTERM;0,0003994461;7446025;Dalagatan;59,3414590809;18,0448410196;1053;0
10279;Vasaparken;10278;59,3412867778;18,0459897032;A;BUSTERM;0,0004452626;7446060;Vasaparken;59,3416502996;18,0457325832;1053;0
10278;Vasaparken;10278;59,3418938616;18,0451507054;A;BUSTERM;0,0006307965;7446060;Vasaparken;59,3416502996;18,0457325832;1053;0
50001;Karlbergsvägen;10179;59,3420724607;18,0368296808;A;BUSTERM;0,0003264336;7446022;Karlbergsvägen;59,3422200441;18,0371208475;1058;1
10362;Karlbergsvägen;10179;59,3418691156;18,0371679344;A;BUSTERM;0,0003540734;7446022;Karlbergsvägen;59,3422200441;18,0371208475;1058;0
10361;Karlbergsvägen;10179;59,343229644;18,0358507713;A;BUSTERM;0,0006271266;7446076;Rödabergsgatan;59,3437997505;18,035589493;1058;0
10180;S:t Eriksgatan;10180;59,3426270326;18,0374813574;A;BUSTERM;0,0002861299;7446023;S:t Eriksgatan (på Karlbergsvä;59,3423497803;18,037410636;1059;1
10181;S:t Eriksgatan;10180;59,3423590938;18,0379208527;A;BUSTERM;0,0005103017;7446023;S:t Eriksgatan (på Karlbergsvä;59,3423497803;18,037410636;1059;0
10762;Vanadisplan;10761;59,3452419989;18,0405187117;A;BUSTERM;0,0005563493;7446188;Vanadisplan;59,3449537323;18,0400428683;1060;1
50002;Vanadisplan;10761;59,3454460137;18,0396178824;A;BUSTERM;0,0006503491;7446188;Vanadisplan;59,3449537323;18,0400428683;1060;0
10761;Vanadisplan;10761;59,34522761;18,0408342304;A;BUSTERM;0,0008374144;7446188;Vanadisplan;59,3449537323;18,0400428683;1060;0
50003;Vanadisplan;10761;59,3439077384;18,0392531363;A;BUSTERM;0,001310641;7446188;Vanadisplan;59,3449537323;18,0400428683;1060;0
10370;Rödabergsgatan;10370;59,343799543;18,0356068502;A;BUSTERM;1,73584207721234E-005;7446076;Rödabergsgatan;59,3437997505;18,035589493;1061;1
10335;Norra station;10335;59,348451163;18,0397977133;A;BUSTERM;0,0010232519;7446187;Norra Stationsgatan (på St Eri;59,3480488173;18,0407385441;1062;1
